#gene_id	isoform_psi_value
ENSMUSG00000028053	ENSMUST00000186583:0.35108622929333944,ENSMUST00000090933:0.6489137707066605,ENSMUST00000198846:0.0,ENSMUST00000189824:0.0
ENSMUSG00000095712	ENSMUST00000178517:1.0
ENSMUSG00000077804	ENSMUST00000104616:0
ENSMUSG00000105204	ENSMUST00000200659:0
ENSMUSG00000041263	ENSMUST00000166687:0,ENSMUST00000090929:0,ENSMUST00000052539:0,ENSMUST00000200357:0,ENSMUST00000196223:0,ENSMUST00000198506:0,ENSMUST00000196043:0
ENSMUSG00000059743	ENSMUST00000196709:0,ENSMUST00000081848:0,ENSMUST00000196254:0,ENSMUST00000200433:0,ENSMUST00000196921:0,ENSMUST00000199668:0,ENSMUST00000198239:0
ENSMUSG00000077148	ENSMUST00000103960:0
ENSMUSG00000105654	ENSMUST00000196011:0
ENSMUSG00000041237	ENSMUST00000047111:0,ENSMUST00000151591:0,ENSMUST00000107482:0,ENSMUST00000127058:0,ENSMUST00000148097:0
ENSMUSG00000028051	ENSMUST00000029686:0,ENSMUST00000132156:0,ENSMUST00000127654:0,ENSMUST00000133368:0
ENSMUSG00000068917	ENSMUST00000121212:0,ENSMUST00000152205:0,ENSMUST00000090927:0,ENSMUST00000148265:0,ENSMUST00000138822:0,ENSMUST00000121931:0,ENSMUST00000128318:0,ENSMUST00000133323:0,ENSMUST00000153255:0,ENSMUST00000132830:0,ENSMUST00000139221:0
ENSMUSG00000028049	ENSMUST00000029684:0,ENSMUST00000120697:0,ENSMUST00000136165:0,ENSMUST00000098941:0,ENSMUST00000156447:0,ENSMUST00000148881:0,ENSMUST00000129294:0,ENSMUST00000124291:0
ENSMUSG00000086718	ENSMUST00000131146:0
ENSMUSG00000032657	ENSMUST00000140473:0,ENSMUST00000041913:0,ENSMUST00000147696:0,ENSMUST00000127982:0,ENSMUST00000117278:0,ENSMUST00000119707:0,ENSMUST00000126115:0,ENSMUST00000136209:0,ENSMUST00000125501:0,ENSMUST00000155033:0
ENSMUSG00000064336	ENSMUST00000082387:0
ENSMUSG00000064337	ENSMUST00000082388:0
ENSMUSG00000064338	ENSMUST00000082389:0
ENSMUSG00000064339	ENSMUST00000082390:0
ENSMUSG00000064340	ENSMUST00000082391:0
ENSMUSG00000064341	ENSMUST00000082392:0
ENSMUSG00000064342	ENSMUST00000082393:0
ENSMUSG00000064343	ENSMUST00000082394:0
ENSMUSG00000064344	ENSMUST00000082395:0
ENSMUSG00000064345	ENSMUST00000082396:0
ENSMUSG00000064346	ENSMUST00000082397:0
ENSMUSG00000064347	ENSMUST00000082398:0
ENSMUSG00000064348	ENSMUST00000082399:0
ENSMUSG00000064349	ENSMUST00000082400:0
ENSMUSG00000064350	ENSMUST00000082401:0
ENSMUSG00000064351	ENSMUST00000082402:0
ENSMUSG00000064352	ENSMUST00000082403:0
ENSMUSG00000064353	ENSMUST00000082404:0
ENSMUSG00000064354	ENSMUST00000082405:0
ENSMUSG00000064355	ENSMUST00000082406:0
ENSMUSG00000064356	ENSMUST00000082407:0
ENSMUSG00000064357	ENSMUST00000082408:0
ENSMUSG00000064358	ENSMUST00000082409:0
ENSMUSG00000064359	ENSMUST00000082410:0
ENSMUSG00000064360	ENSMUST00000082411:0
ENSMUSG00000064361	ENSMUST00000082412:0
ENSMUSG00000065947	ENSMUST00000084013:0
ENSMUSG00000064363	ENSMUST00000082414:0
ENSMUSG00000064364	ENSMUST00000082415:0
ENSMUSG00000064365	ENSMUST00000082416:0
ENSMUSG00000064366	ENSMUST00000082417:0
ENSMUSG00000064367	ENSMUST00000082418:0
ENSMUSG00000064368	ENSMUST00000082419:0
ENSMUSG00000064369	ENSMUST00000082420:0
ENSMUSG00000064370	ENSMUST00000082421:0
ENSMUSG00000064371	ENSMUST00000082422:0
ENSMUSG00000064372	ENSMUST00000082423:0
ENSMUSG00000002012	ENSMUST00000114473:0,ENSMUST00000002087:0,ENSMUST00000114472:0,ENSMUST00000129106:0,ENSMUST00000144187:0
ENSMUSG00000019558	ENSMUST00000033752:0.0,ENSMUST00000114467:0.0,ENSMUST00000164449:0.0,ENSMUST00000114465:0.0,ENSMUST00000146796:0.0,ENSMUST00000168831:0.0,ENSMUST00000171398:0.0,ENSMUST00000114464:1.0,ENSMUST00000168764:0.0,ENSMUST00000170614:0.0,ENSMUST00000166200:0.0,ENSMUST00000170574:0.0,ENSMUST00000167828:0.0
ENSMUSG00000002015	ENSMUST00000002091:0
ENSMUSG00000031378	ENSMUST00000002084:0.0,ENSMUST00000114461:1.0
ENSMUSG00000088823	ENSMUST00000158198:0
ENSMUSG00000031385	ENSMUST00000149478:0,ENSMUST00000146812:0,ENSMUST00000147127:0,ENSMUST00000002079:0,ENSMUST00000155096:0
ENSMUSG00000002007	ENSMUST00000002081:0,ENSMUST00000136664:0,ENSMUST00000137045:0,ENSMUST00000139630:0
ENSMUSG00000002010	ENSMUST00000052761:0,ENSMUST00000156299:0,ENSMUST00000129070:0,ENSMUST00000148419:0,ENSMUST00000130119:0,ENSMUST00000140944:0,ENSMUST00000142707:0,ENSMUST00000129367:0,ENSMUST00000145341:0
ENSMUSG00000002014	ENSMUST00000166518:0,ENSMUST00000002090:0,ENSMUST00000136544:0,ENSMUST00000155552:0,ENSMUST00000141721:0,ENSMUST00000130738:0,ENSMUST00000142829:0,ENSMUST00000129239:0
ENSMUSG00000002006	ENSMUST00000002080:0,ENSMUST00000114438:0
ENSMUSG00000085669	ENSMUST00000148522:0
ENSMUSG00000064536	ENSMUST00000082602:0
ENSMUSG00000031391	ENSMUST00000114430:6.454107144274882e-07,ENSMUST00000102871:2.964436046181905e-06,ENSMUST00000066576:0.0,ENSMUST00000144478:0.0,ENSMUST00000124560:0.0,ENSMUST00000145805:0.0,ENSMUST00000135104:0.0,ENSMUST00000130110:0.0,ENSMUST00000155246:0.0,ENSMUST00000148250:0.0,ENSMUST00000129612:0.9999963901532394,ENSMUST00000141221:0.0,ENSMUST00000146790:0.0
ENSMUSG00000031389	ENSMUST00000114405:0,ENSMUST00000064376:0,ENSMUST00000114406:0,ENSMUST00000130976:0,ENSMUST00000148319:0,ENSMUST00000147510:0,ENSMUST00000127163:0,ENSMUST00000151600:0,ENSMUST00000114407:0,ENSMUST00000145159:0,ENSMUST00000140393:0,ENSMUST00000114404:0,ENSMUST00000142925:0,ENSMUST00000143696:0,ENSMUST00000149774:0,ENSMUST00000128329:0,ENSMUST00000143536:0,ENSMUST00000124798:0,ENSMUST00000149135:0,ENSMUST00000123283:0
ENSMUSG00000031390	ENSMUST00000033765:0,ENSMUST00000131088:0,ENSMUST00000101470:0,ENSMUST00000114395:0
ENSMUSG00000031388	ENSMUST00000139105:0,ENSMUST00000033763:0,ENSMUST00000114389:0,ENSMUST00000114387:0,ENSMUST00000114391:0,ENSMUST00000114390:0,ENSMUST00000141211:0,ENSMUST00000096316:0,ENSMUST00000124446:0,ENSMUST00000143076:0,ENSMUST00000149591:0,ENSMUST00000153929:0
ENSMUSG00000031387	ENSMUST00000114379:0,ENSMUST00000116578:0,ENSMUST00000135213:0,ENSMUST00000135711:0,ENSMUST00000155597:0,ENSMUST00000144771:0,ENSMUST00000149130:0,ENSMUST00000146371:0,ENSMUST00000165359:0,ENSMUST00000150241:0
ENSMUSG00000031386	ENSMUST00000033761:0,ENSMUST00000128136:0,ENSMUST00000114372:0,ENSMUST00000156204:0,ENSMUST00000131091:0,ENSMUST00000128325:0
ENSMUSG00000080829	ENSMUST00000120692:0
ENSMUSG00000031392	ENSMUST00000114354:0.0,ENSMUST00000114352:0.0,ENSMUST00000068286:0.0,ENSMUST00000114360:0.0,ENSMUST00000148706:0.9980730614141994,ENSMUST00000149871:0.00192618282754013,ENSMUST00000033769:7.557582603744152e-07,ENSMUST00000148317:0.0,ENSMUST00000128436:0.0,ENSMUST00000114353:0.0,ENSMUST00000101458:0.0,ENSMUST00000138397:0.0,ENSMUST00000126583:0.0,ENSMUST00000140130:0.0,ENSMUST00000132144:0.0,ENSMUST00000124580:0.0,ENSMUST00000124417:0.0,ENSMUST00000149809:0.0,ENSMUST00000145677:0.0,ENSMUST00000146210:0.0,ENSMUST00000144353:0.0,ENSMUST00000128759:0.0
ENSMUSG00000092907	ENSMUST00000175166:0
ENSMUSG00000076127	ENSMUST00000102173:0
